video,cp,dg,G_continue,best,dg_project
LC_dv21_Tlc4p0_TTC03_CP5_S6p267_E16p267.mp4,CP5,136481.12365914046,168474.3351166505,brake,182124.42026620975
LC_dv21_Tlc4p0_TTC04_CP1_S5p067_E15p067.mp4,CP1,25654830.63346082,25675138.466267753,brake,16232.803229812649
LC_dv21_Tlc4p0_TTC04_CP2_S5p367_E15p367.mp4,CP2,104939.45833299083,125248.01873115654,brake,216889.1946561142
LC_dv21_Tlc4p0_TTC04_CP3_S5p667_E15p667.mp4,CP3,114029.87946592818,134537.15458124352,brake,214802.30793606758
LC_dv21_Tlc4p0_TTC04_CP4_S5p967_E15p967.mp4,CP4,119518.48221760054,141210.8295339376,brake,210377.7891533542
LC_dv21_Tlc4p0_TTC04_CP5_S6p267_E16p267.mp4,CP5,124719.08943444098,151098.30256520232,brake,206089.14990596552
LC_dv21_Tlc4p0_TTC06_CP1_S5p067_E15p067.mp4,CP1,485494.6223889436,492273.33098768676,ease_off,24793.361533550924
LC_dv21_Tlc4p0_TTC06_CP3_S5p667_E15p667.mp4,CP3,84599.79357357608,104907.39357357608,brake,199827.18460082612
LC_dv21_Tlc4p0_TTC06_CP5_S6p267_E16p267.mp4,CP5,98951.69396707404,119259.29396707403,brake,211080.504381518
LC_dv21_Tlc4p0_TTC07_CP1_S5p033_E15p033.mp4,CP1,43680365.005362086,43684439.280776374,ease_off,20887.407923160237
LC_dv21_Tlc4p0_TTC07_CP2_S5p333_E15p333.mp4,CP2,74100.23783253421,87091.13038303948,ease_off,153018.12740002386
LC_dv21_Tlc4p0_TTC07_CP4_S5p933_E15p933.mp4,CP4,77969.10150492503,98188.44883966816,ease_off,174783.14729143624
LC_dv28_Tlc2p0_TTC02_CP1_S5p067_E15p067.mp4,CP1,66820384.41116486,66843111.76519119,brake,6864.055704658709
LC_dv28_Tlc2p0_TTC02_CP2_S5p367_E15p367.mp4,CP2,161827.04469226697,201080.24255788402,brake,173006.25098430048
LC_dv28_Tlc2p0_TTC02_CP3_S5p667_E15p667.mp4,CP3,157498.35535121823,215883.6471619827,brake,177277.50777752168
LC_dv28_Tlc2p0_TTC02_CP4_S5p967_E15p967.mp4,CP4,146548.94166652576,230143.07630802615,brake_hard,179366.20951010636
LC_dv28_Tlc2p0_TTC02_CP5_S6p267_E16p267.mp4,CP5,149678.81405181938,236462.58730600053,brake_hard,171968.8193575986
LC_dv28_Tlc2p0_TTC03_CP1_S5p067_E15p067.mp4,CP1,144530421.87817618,144550927.22343302,brake,15594.179741332176
LC_dv28_Tlc2p0_TTC03_CP2_S5p367_E15p367.mp4,CP2,149539.07164593693,179899.6293861548,brake,224483.18079906603
LC_dv28_Tlc2p0_TTC03_CP3_S5p667_E15p667.mp4,CP3,155677.5533705056,195147.83957943652,brake,214969.54452067032
LC_dv28_Tlc2p0_TTC03_CP4_S5p967_E15p967.mp4,CP4,159786.1790539025,208642.0876211798,brake,205268.09026139957
LC_dv28_Tlc2p0_TTC03_CP5_S6p267_E16p267.mp4,CP5,164593.35096819582,217309.43264035202,brake,195206.18235264468
