video,cp,eps,epistemic,g_alpha1,eps_continue,dg_planner,min_eps,p,n,ttc_start,ttc_true,distance
LC_dv14_Tlc3p0_TTC04_CP1_S5p067_E15p067.mp4,CP1,452749.61181328865,56.48411923152162,452693.1276940571,452749.6118132887,389031.5181090006,63718.09370428813,0.0,24,4.0,4.0,15.555555555555555
LC_dv14_Tlc3p0_TTC04_CP2_S5p367_E15p367.mp4,CP2,451263.0549865308,99.5966896993923,451163.4582968314,451263.0549865308,390501.45038946974,60761.60459706106,0.4583333333333333,12,4.0,3.7,14.38888888888889
LC_dv14_Tlc3p0_TTC04_CP3_S5p667_E15p667.mp4,CP3,450368.3479429606,85.00138010218507,450283.34656285844,450368.3479429606,385068.4761529623,65299.87178999832,0.7083333333333334,12,4.0,3.4,13.22222222222222
LC_dv14_Tlc3p0_TTC04_CP4_S5p967_E15p967.mp4,CP4,450020.6686292214,29.400704508298077,449991.2679247131,450020.6686292214,387235.47701608646,62785.19161313493,0.6666666666666666,12,4.0,3.1,12.055555555555555
LC_dv14_Tlc3p0_TTC04_CP5_S6p267_E16p267.mp4,CP5,450020.6687483003,58.56169737235177,449962.10705092794,450020.6687483003,381622.4421226562,68398.22662564408,0.7916666666666666,12,4.0,2.8,10.888888888888888
LC_dv14_Tlc3p0_TTC06_CP1_S5p067_E15p067.mp4,CP1,450290.11627930345,107.94433141581248,450182.17194788763,450290.11627930345,385197.97637124406,65092.139908059384,0.0416666666666666,12,6.0,6.0,23.33333333333333
LC_dv14_Tlc3p0_TTC06_CP3_S5p667_E15p667.mp4,CP3,452096.463923191,123.14322672935668,451973.32069646165,452096.463923191,389377.2035694014,62719.26035378961,0.2916666666666667,12,6.0,5.4,21.0
LC_dv14_Tlc3p0_TTC06_CP5_S6p267_E16p267.mp4,CP5,452115.7356982638,134.27222203364363,451981.46347623016,452115.7356982638,402978.1638934591,49137.57180480473,0.4166666666666667,12,6.0,4.8,18.666666666666664
LC_dv14_Tlc3p0_TTC07_CP1_S5p067_E15p067.mp4,CP1,450406.3697415782,105.02904254448367,450301.3406990337,450406.3697415782,385103.2116550154,65303.15808656276,0.0416666666666666,12,7.0,7.0,27.22222222222222
LC_dv14_Tlc3p0_TTC07_CP2_S5p367_E15p367.mp4,CP2,450796.1249886436,98.29070619022241,450697.8342824534,450796.1249886436,390122.2418048854,60673.88318375824,0.2083333333333333,12,7.0,6.7,26.05555555555556
LC_dv14_Tlc3p0_TTC07_CP4_S5p967_E15p967.mp4,CP4,553420.5068887476,69.733669276,553350.7732194716,553420.5068887476,427902.9710824501,125517.53580629744,0.4583333333333333,12,7.0,6.1,23.72222222222222
LC_dv14_Tlc4p0_TTC02_CP1_S5p067_E15p067.mp4,CP1,450020.6687483003,28.212413898843806,449992.45633440145,450020.6687483003,385330.2527559536,64690.41599234671,0.0416666666666666,24,2.0,2.0,7.777777777777778
LC_dv14_Tlc4p0_TTC02_CP2_S5p367_E15p367.mp4,CP2,450410.73193303705,29.822360248188488,450380.90957278886,450410.73193303705,385115.6608822873,65295.07105074974,0.7916666666666666,12,2.0,1.7,6.611111111111111
LC_dv14_Tlc4p0_TTC02_CP3_S5p667_E15p667.mp4,CP3,450478.588264524,84.45617531740572,450394.1320892066,450478.588264524,384725.6253226251,65752.9629418989,0.9583333333333334,12,2.0,1.4,5.444444444444444
LC_dv14_Tlc4p0_TTC02_CP4_S5p967_E15p967.mp4,CP4,450020.6687483003,28.448637360648718,449992.22011093964,450020.6687483003,381629.6960086664,68390.97273963387,0.9583333333333334,12,2.0,1.1,4.277777777777778
LC_dv14_Tlc4p0_TTC02_CP5_S6p267_E16p267.mp4,CP5,459936.3324481291,87.76124821405392,459848.571199915,459936.3324481291,380374.998844892,79561.33360323706,0.9583333333333334,12,2.0,0.8,3.111111111111111
