cp,p,n,ttc_start,ttc_true,distance,lcd,gate_E,gate_G,gate_R,gate_G.1,gate_JJ.6e
CP1,0.0454545454545454,11,5.0,5.0,29.166666666666664,2.0,0.005865466996362589,7.145401693806676e-06,8.17248845650152e-13,0.06825831495507569,0.050565621517496585
CP2,0.4545454545454545,11,5.0,4.7,27.416666666666668,2.0,0.9998056277993408,0.9999999999988775,1.0,0.9974608153286381,0.9959934241183129
CP4,0.4545454545454545,11,5.0,4.1,23.916666666666664,2.0,0.9999969510243034,1.0,1.0,0.9999985922398206,0.9999970969959394
CP1,0.0,10,7.0,7.0,40.83333333333333,2.0,0.005769424261919176,6.481336704477977e-06,6.357049064999744e-13,0.06720057157626591,0.04973025127525171
CP3,0.0,10,7.0,6.4,37.333333333333336,2.0,0.9999961887803792,1.0,1.0,0.9999871799890574,0.9999753146092443
CP5,0.05,10,7.0,5.8,33.83333333333333,2.0,0.9999992377560758,1.0,1.0,0.9999997986497621,0.9999995609823615
CP1,0.0208333333333333,24,2.0,2.0,11.666666666666666,3.0,0.005898243485101151,7.321286357494228e-06,8.700580719980711e-13,0.06852474796040976,0.050776201121447186
CP2,0.5,12,2.0,1.7,9.916666666666666,3.0,0.9943761643275941,0.9997852056277526,0.9999999950078595,0.9306711387108086,0.9082907754163122
CP3,0.75,12,2.0,1.4,8.166666666666666,3.0,0.9995739056463981,0.9999999998718979,1.0,0.9944477645677361,0.9915502937877491
CP4,0.875,12,2.0,1.1,6.416666666666667,3.0,0.9995281710109488,0.9999999997778911,1.0,0.9939131821523477,0.990777596658479
CP5,0.9166666666666666,12,2.0,0.8,4.666666666666667,3.0,0.9999565520963233,1.0,1.0,0.9994916398022013,0.999141764418317
CP1,0.0208333333333333,24,3.0,3.0,17.5,3.0,0.005694724357352188,6.09665355584429e-06,5.430081348003397e-13,0.06654594577985329,0.04921376081171467
CP2,0.3333333333333333,12,3.0,2.7,15.75,3.0,0.9941962747614939,0.9997478175660143,0.9999999924915738,0.9284913009848358,0.9056006902166465
CP3,0.625,12,3.0,2.4,13.999999999999998,3.0,0.9995121638885417,0.9999999996982528,1.0,0.993592849665881,0.9903163273191343
CP4,0.7083333333333334,12,3.0,2.1,12.25,3.0,0.9995754301342464,0.9999999998762586,1.0,0.994479747066685,0.9915966431008676
CP5,0.7083333333333334,12,3.0,1.8,10.5,3.0,0.9999626500477165,1.0,1.0,0.9996181914116228,0.999348121562488
CP1,0.0208333333333333,24,4.0,4.0,23.33333333333333,3.0,0.005918824071053375,7.50129478146915e-06,9.262108465568296e-13,0.06879198247347298,0.05098747843911141
CP2,0.2916666666666667,12,4.0,3.7,21.58333333333333,3.0,0.9941612115409828,0.9997401644026934,0.9999999918986506,0.9280767884615825,0.9050898862987458
CP3,0.25,12,4.0,3.4,19.83333333333333,3.0,0.99956323423146,0.9999999998503448,1.0,0.9943017973703617,0.9913389341798508
CP4,0.4583333333333333,12,4.0,3.1,18.08333333333333,3.0,0.9996257382332405,0.99999999995361,1.0,0.9953112994612481,0.9928069397053519
CP5,0.5833333333333334,12,4.0,2.8,16.333333333333332,3.0,0.9999618878037924,1.0,1.0,0.999609717310084,0.9993342230826431
CP1,0.0833333333333333,12,5.0,5.0,29.166666666666664,3.0,0.005865466996362589,7.145401693806676e-06,8.17248845650152e-13,0.06825831495507569,0.050565621517496585
CP3,0.25,12,5.0,4.4,25.666666666666668,3.0,0.9995609474996875,0.9999999998424026,1.0,0.9942523901108805,0.9912674578355382
CP5,0.2916666666666667,12,5.0,3.8,22.166666666666664,3.0,0.9999626500477165,1.0,1.0,0.9996139759479503,0.9993412061431832
CP1,0.0,12,6.0,6.0,35.0,3.0,0.005668045820006795,5.948965382276027e-06,5.097650999539475e-13,0.06628548183858271,0.049008367861558995
CP2,0.1666666666666666,12,6.0,5.7,33.25,3.0,0.9941947502736456,0.999745290175303,0.9999999922987763,0.928353334320949,0.9054306479787282
CP4,0.0416666666666666,12,6.0,5.1,29.75,3.0,0.9996188780379232,0.9999999999465586,1.0,0.9951997951317513,0.992644039715823
CP1,0.02,25,2.0,2.0,11.666666666666666,4.0,0.005898243485101151,7.321286357494228e-06,8.700580719980711e-13,0.06852474796040976,0.050776201121447186
CP2,0.6153846153846154,13,2.0,1.7,9.916666666666666,4.0,0.9718068839773278,0.9429615843877841,0.9949409664049298,0.7726114797953868,0.7247361937428096
CP3,0.9166666666666666,12,2.0,1.4,8.166666666666666,4.0,0.9949630921491924,0.9998778952367615,0.9999999988161371,0.9377753899706929,0.9171049555780778
CP4,0.8846153846153846,13,2.0,1.1,6.416666666666667,4.0,0.9945453824787562,0.9998154960531741,0.999999996609676,0.9326679077682407,0.9107607546271217
CP5,0.9166666666666666,12,2.0,0.8,4.666666666666667,4.0,0.9984191061013052,0.9999997359065035,0.9999999999999999,0.9795949669416939,0.9709504534840236
CP1,0.0,25,3.0,3.0,17.5,4.0,0.005842599678637983,6.973551234301079e-06,7.675878416740981e-13,0.06799268213764463,0.05035573817974107
CP2,0.4230769230769231,13,3.0,2.7,15.75,4.0,0.9663301613822837,0.9267207817298297,0.9909335585651694,0.7577208282829206,0.7083204849439337
CP3,0.5833333333333334,12,3.0,2.4,13.999999999999998,4.0,0.9944104653041811,0.9997916122434157,0.9999999953780856,0.9310740992928537,0.9087887802741339
