video,cp,ttc_start,ttc_true,distance,dv_kph,lcd,p,n,deficit_max,deficit_horizon,p_lane_end,p_lane_end_h,p_lane_max_h
LC_dv07_Tlc4p0_TTC02_CP5_S6p267_E16p267.mp4,CP5,2.0,0.8,1.5555555555555556,7.0,4.0,1.0,12,5138.722974935116,7382.945818813222,0.6168908359985409,0.9979945302153991,0.9979945302153991
LC_dv07_Tlc4p0_TTC03_CP1_S5p067_E15p067.mp4,CP1,3.0,3.0,5.833333333333333,7.0,4.0,0.0,25,991.9828671669591,991.9828671669591,0.0,0.0,0.0
LC_dv07_Tlc4p0_TTC03_CP2_S5p367_E15p367.mp4,CP2,3.0,2.7,5.25,7.0,4.0,0.6538461538461539,13,6693.829896012044,4161.866878652322,0.9957952573985903,0.5831913582866813,0.5831913582866813
LC_dv07_Tlc4p0_TTC03_CP3_S5p667_E15p667.mp4,CP3,3.0,2.4,4.666666666666666,7.0,4.0,0.9583333333333334,12,6770.445534291055,6235.597497975666,0.9990833601532741,0.9082950458809117,0.9082950458809117
LC_dv07_Tlc4p0_TTC03_CP4_S5p967_E15p967.mp4,CP4,3.0,2.1,4.083333333333333,7.0,4.0,0.8461538461538461,13,6941.615036954505,6751.698513069836,1.0,0.983617934652744,0.983617934652744
LC_dv07_Tlc4p0_TTC03_CP5_S6p267_E16p267.mp4,CP5,3.0,1.8,3.5,7.0,4.0,0.9583333333333334,12,6986.515250500612,6900.904729346298,0.9995560541925395,0.9979399623378477,0.9979399623378477
LC_dv07_Tlc4p0_TTC04_CP1_S5p033_E15p033.mp4,CP1,4.0,4.0,7.777777777777778,7.0,4.0,0.02,25,991.9828671669591,991.9828671669591,0.0,0.0,0.0
LC_dv07_Tlc4p0_TTC04_CP2_S5p333_E15p333.mp4,CP2,4.0,3.7,7.194444444444445,7.0,4.0,0.5769230769230769,13,5277.192041227994,2703.6286339660546,1.0,0.512323336510021,0.512323336510021
LC_dv07_Tlc4p0_TTC04_CP3_S5p633_E15p633.mp4,CP3,4.0,3.4,6.611111111111111,7.0,4.0,0.7083333333333334,12,6217.846568174787,4043.7477879022695,1.0,0.8472543160926433,0.8472543160926433
LC_dv07_Tlc4p0_TTC04_CP4_S5p933_E15p933.mp4,CP4,4.0,3.1,6.027777777777778,7.0,4.0,0.7307692307692307,13,6427.172803111108,6112.64746694068,1.0,0.9689143690207482,0.970182469760298
LC_dv07_Tlc4p0_TTC04_CP5_S6p233_E16p233.mp4,CP5,4.0,2.8,5.444444444444444,7.0,4.0,0.8333333333333334,12,6568.454327469068,6428.016319538471,1.0,0.9942721419944481,0.9958964252615166
LC_dv07_Tlc4p0_TTC06_CP1_S5p067_E15p067.mp4,CP1,6.0,6.0,11.666666666666666,7.0,4.0,0.041666666666666664,12,1033.5053644621973,1033.5053644621973,0.0,0.0,0.0
LC_dv07_Tlc4p0_TTC06_CP3_S5p667_E15p667.mp4,CP3,6.0,5.4,10.5,7.0,4.0,0.4583333333333333,12,5355.689201366867,3879.6204935219384,1.0,0.9091582839606639,0.9091582839606639
LC_dv07_Tlc4p0_TTC06_CP5_S6p267_E16p267.mp4,CP5,6.0,4.8,9.333333333333332,7.0,4.0,0.7083333333333334,12,5540.445245170204,5427.083235939078,1.0,0.9978659781524719,0.9983451640467159
LC_dv07_Tlc4p0_TTC07_CP1_S5p067_E15p067.mp4,CP1,7.0,7.0,13.61111111111111,7.0,4.0,0.038461538461538464,13,1005.6933146023938,1005.6933146023938,0.0,0.0,0.0
LC_dv07_Tlc4p0_TTC07_CP2_S5p367_E15p367.mp4,CP2,7.0,6.7,13.02777777777778,7.0,4.0,0.3076923076923077,13,3664.810478046569,2000.0035322850488,1.0,0.5457317763812709,0.5457317763812709
LC_dv07_Tlc4p0_TTC07_CP4_S5p967_E15p967.mp4,CP4,7.0,6.1,11.86111111111111,7.0,4.0,0.5769230769230769,13,4942.786808982689,4691.691629166927,1.0,0.9813613293191893,0.9813613293191893
LC_dv14_Tlc2p0_TTC02_CP1_S5p067_E15p067.mp4,CP1,2.0,2.0,7.777777777777778,14.0,2.0,0.07692307692307693,26,1019.3296682387962,1019.3296682387962,0.0,0.0,0.0
LC_dv14_Tlc2p0_TTC02_CP2_S5p367_E15p367.mp4,CP2,2.0,1.7,6.611111111111111,14.0,2.0,0.9230769230769231,13,8106.448403366461,8120.81118543842,1.0,1.0,1.0
LC_dv14_Tlc2p0_TTC02_CP3_S5p667_E15p667.mp4,CP3,2.0,1.4,5.444444444444444,14.0,2.0,1.0,13,8106.448403366461,8120.81118543842,1.0,1.0,1.0
LC_dv14_Tlc2p0_TTC02_CP4_S5p967_E15p967.mp4,CP4,2.0,1.1,4.277777777777778,14.0,2.0,0.9230769230769231,13,8106.448403366461,8120.81118543842,1.0,1.0,1.0
