video,l0,ldot,trace,cp,e_t,lat_center,half_widths
LC_dv21_Tlc2p0_TTC03_CP1_S5p067_E15p067.mp4,1.6350000000000005,-0.003333333333334447,LC_dv21_Tlc2p0_TTC03,CP1,15.067,3.5170000000000003,1.882
LC_dv21_Tlc2p0_TTC03_CP2_S5p367_E15p367.mp4,1.2459999999999993,-1.2966666666666704,LC_dv21_Tlc2p0_TTC03,CP2,15.367,3.1279999999999992,1.882
LC_dv21_Tlc2p0_TTC03_CP3_S5p667_E15p667.mp4,0.7899999999999998,-1.690000000000002,LC_dv21_Tlc2p0_TTC03,CP3,15.667,2.6719999999999997,1.882
LC_dv21_Tlc2p0_TTC03_CP4_S5p967_E15p967.mp4,0.3159999999999996,-1.5800000000000007,LC_dv21_Tlc2p0_TTC03,CP4,15.967,2.1979999999999995,1.882
LC_dv21_Tlc2p0_TTC03_CP5_S6p267_E16p267.mp4,-0.17300000000000026,-1.8100000000000005,LC_dv21_Tlc2p0_TTC03,CP5,16.267,1.7089999999999996,1.882
LC_dv21_Tlc2p0_TTC04_CP1_S5p067_E15p067.mp4,1.639,-0.0066666666666659324,LC_dv21_Tlc2p0_TTC04,CP1,15.067,3.521,1.882
LC_dv21_Tlc2p0_TTC04_CP2_S5p367_E15p367.mp4,1.243000000000001,-1.3199999999999967,LC_dv21_Tlc2p0_TTC04,CP2,15.367,3.125000000000001,1.882
LC_dv21_Tlc2p0_TTC04_CP3_S5p667_E15p667.mp4,0.7950000000000006,-1.6600000000000008,LC_dv21_Tlc2p0_TTC04,CP3,15.667,2.6770000000000005,1.882
LC_dv21_Tlc2p0_TTC04_CP4_S5p967_E15p967.mp4,0.3140000000000007,-1.603333333333333,LC_dv21_Tlc2p0_TTC04,CP4,15.967,2.1960000000000006,1.882
LC_dv21_Tlc2p0_TTC04_CP5_S6p267_E16p267.mp4,-0.17300000000000026,-1.806666666666669,LC_dv21_Tlc2p0_TTC04,CP5,16.267,1.7089999999999996,1.882
LC_dv21_Tlc2p0_TTC05_CP1_S5p067_E15p067.mp4,1.6429999999999996,-0.006666666666671854,LC_dv21_Tlc2p0_TTC05,CP1,15.067,3.5249999999999995,1.882
LC_dv21_Tlc2p0_TTC05_CP2_S5p367_E15p367.mp4,1.2549999999999997,-1.293333333333333,LC_dv21_Tlc2p0_TTC05,CP2,15.367,3.1369999999999996,1.882
