exp,seed,v0,thw0,lead_onset_t,rt_brake,rt_replan,brake_onset_idx,replan_onset_idx,lead_onset_idx,min_gap,collided,eps_pre_median,eps_max
0,17,25.0,0.668,0.8,0.6000000000000001,0.4,7,6,4,-153.35476989746093,0,1000.0,15469.676484682363
0,18,25.0,0.668,0.8,1.8,0.4,13,6,4,-141.8203155517578,0,1000.0,16160.157101735887
0,19,25.0,0.668,0.8,1.2000000000000002,0.4,10,6,4,-146.56979675292968,0,1000.0,16659.580066421662
0,20,25.0,0.668,0.8,0.8,0.4,8,6,4,-226.93497009277343,0,1000.0,22879.922752161976
0,21,25.0,0.668,0.8,0.6000000000000001,0.4,7,6,4,-131.15761108398436,0,1000.0,5555.853905007497
0,22,25.0,0.668,0.8,1.4000000000000001,0.4,11,6,4,-109.22572631835938,0,1000.0,6313.31370646146
0,23,25.0,0.668,0.8,2.6,0.4,17,6,4,-194.47445983886718,0,1000.0,15436.933072728267
0,24,25.0,0.668,0.8,0.6000000000000001,0.4,7,6,4,-186.4508087158203,0,1000.0,15372.594845391252
0,25,25.0,0.668,0.8,2.2,0.4,15,6,4,-149.7956115722656,0,1000.0,16181.321445443102
0,26,25.0,0.668,0.8,1.2000000000000002,0.4,10,6,4,-193.94656677246093,0,1000.0,15579.313871474713
0,27,25.0,0.668,0.8,0.6000000000000001,0.4,7,6,4,-180.52316589355468,0,1000.0,15148.922546406407
0,28,25.0,0.668,0.8,0.6000000000000001,0.4,7,6,4,-74.4603759765625,1,1000.0,14478.73406083301
0,29,25.0,0.668,0.8,2.6,0.4,17,6,4,-174.01983947753905,0,1000.0,15345.24067861469
0,30,25.0,0.668,0.8,1.0,0.4,9,6,4,-165.278125,1,1000.0,15441.155723507316
0,31,25.0,0.668,0.8,0.6000000000000001,0.4,7,6,4,-103.55102844238282,1,1000.0,13379.999099860803
1,0,20.0,0.71,0.8,0.6000000000000001,0.4,7,6,4,-84.1759407043457,0,1000.0,8804.606342840068
1,1,20.0,0.71,0.8,0.6000000000000001,0.4,7,6,4,-59.26898880004883,0,1000.0,5230.918296269138
1,2,20.0,0.71,0.8,0.8,0.4,8,6,4,-81.08823318481446,0,1000.0,7291.838030646389
1,3,20.0,0.71,0.8,1.2000000000000002,0.4,10,6,4,-80.29296035766602,0,1000.0,6019.257755889028
1,4,20.0,0.71,0.8,0.6000000000000001,0.4,7,6,4,-82.19829483032227,0,1000.0,9462.481369113013
1,5,20.0,0.71,0.8,1.0,0.4,9,6,4,-91.6466896057129,0,1000.0,15087.466493340435
1,6,20.0,0.71,0.8,1.2000000000000002,0.4,10,6,4,-119.48912734985352,0,1000.0,5794.938842214192
1,7,20.0,0.71,0.8,0.6000000000000001,0.4,7,6,4,-61.69860763549805,0,1000.0,5951.417196163829
1,8,20.0,0.71,0.8,0.6000000000000001,0.4,7,6,4,-62.7975456237793,0,1000.0,43084.87006904876
1,9,20.0,0.71,0.8,0.6000000000000001,0.4,7,6,4,-91.10619277954102,0,1000.0,8821.284941406999
1,10,20.0,0.71,0.8,0.6000000000000001,0.4,7,6,4,-68.01613540649414,0,1000.0,45553.744606647335
1,11,20.0,0.71,0.8,0.6000000000000001,0.4,7,6,4,-107.70775527954102,0,1000.0,13624.542602080168
1,12,20.0,0.71,0.8,0.6000000000000001,0.4,7,6,4,-31.16102523803711,1,1000.0,10612.011542012468
1,13,20.0,0.71,0.8,0.8,0.4,8,6,4,-109.60468215942383,0,1000.0,7355.135548704664
1,14,20.0,0.71,0.8,0.6000000000000001,0.4,7,6,4,-86.2124855041504,0,1000.0,5059.463491561333
1,15,20.0,0.71,0.8,0.6000000000000001,0.4,7,6,4,-87.1990119934082,0,1000.0,6178.159160798891
1,16,20.0,0.71,0.8,1.6,0.4,12,6,4,-85.83090896606446,0,1000.0,36554.76140513292
1,17,20.0,0.71,0.8,0.6000000000000001,0.4,7,6,4,-63.03874130249024,0,1000.0,13278.785788054824
1,18,20.0,0.71,0.8,0.6000000000000001,0.4,7,6,4,-46.24364395141602,1,1000.0,10523.541497225591
1,19,20.0,0.71,0.8,0.6000000000000001,0.4,7,6,4,-92.03186721801758,0,1000.0,50206.3885520877
1,20,20.0,0.71,0.8,0.8,0.4,8,6,4,-78.67055435180664,0,1000.0,8367.46170164184
1,21,20.0,0.71,0.8,0.6000000000000001,0.4,7,6,4,-39.43037338256836,0,1000.0,5881.1369430069335
